job_index	condition	stage	method	pocket	seed	num_samples	tag
53	single_pass	single	diffsbdd	1M17	83	500	single-pass-single-diffsbdd-1m17-s83-n500-r02
54	single_pass	single	targetdiff	1M17	97	500	single-pass-single-targetdiff-1m17-s97-n500-r02
55	single_pass	single	pocket2mol	1M17	97	500	single-pass-single-pocket2mol-1m17-s97-n500-r02
56	single_pass	single	diffsbdd	1M17	97	500	single-pass-single-diffsbdd-1m17-s97-n500-r02
57	single_pass	single	targetdiff	1M17	109	500	single-pass-single-targetdiff-1m17-s109-n500-r02
58	single_pass	single	pocket2mol	1M17	109	500	single-pass-single-pocket2mol-1m17-s109-n500-r02
59	single_pass	single	diffsbdd	1M17	109	500	single-pass-single-diffsbdd-1m17-s109-n500-r02
60	iterative	round1	targetdiff	1IEP	83	250	iterative-round1-targetdiff-1iep-s83-n250-r02
61	iterative	round1	pocket2mol	1IEP	83	250	iterative-round1-pocket2mol-1iep-s83-n250-r02
62	iterative	round1	diffsbdd	1IEP	83	250	iterative-round1-diffsbdd-1iep-s83-n250-r02
63	iterative	round1	targetdiff	1IEP	97	250	iterative-round1-targetdiff-1iep-s97-n250-r02
64	iterative	round1	pocket2mol	1IEP	97	250	iterative-round1-pocket2mol-1iep-s97-n250-r02
65	iterative	round1	diffsbdd	1IEP	97	250	iterative-round1-diffsbdd-1iep-s97-n250-r02
66	iterative	round1	targetdiff	1IEP	109	250	iterative-round1-targetdiff-1iep-s109-n250-r02
67	iterative	round1	pocket2mol	1IEP	109	250	iterative-round1-pocket2mol-1iep-s109-n250-r02
68	iterative	round1	diffsbdd	1IEP	109	250	iterative-round1-diffsbdd-1iep-s109-n250-r02
69	iterative	round1	targetdiff	2HYY	83	250	iterative-round1-targetdiff-2hyy-s83-n250-r02
70	iterative	round1	pocket2mol	2HYY	83	250	iterative-round1-pocket2mol-2hyy-s83-n250-r02
71	iterative	round1	diffsbdd	2HYY	83	250	iterative-round1-diffsbdd-2hyy-s83-n250-r02
72	iterative	round1	targetdiff	2HYY	97	250	iterative-round1-targetdiff-2hyy-s97-n250-r02
